@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
570,'2026/06/17 13:21:32:757',8,29.678791,0,0,16.068689,15.412871,5.62928,0,1,0,0,0,0,0,0
571,'2026/06/17 13:21:32:803',8,30.585442,0,0,10.544599,20.244978,5.843926,0,1,0,0,0,0,0,0
572,'2026/06/17 13:21:32:849',8,29.24419,0,0,15.557069,12.455502,9.962895,0,1,0,0,0,0,0,0
573,'2026/06/17 13:21:32:896',8,33.393959,0,0,12.669297,18.242994,6.85763,0,1,0,0,0,0,0,0
574,'2026/06/17 13:21:32:955',8,27.518244,0,0,12.258894,15.307117,8.046323,0,1,0,0,0,0,0,0
575,'2026/06/17 13:21:32:989',8,30.92145,0,0,8.725373,16.925226,7.641867,0,1,0,0,0,0,0,0
576,'2026/06/17 13:21:33:036',8,37.379135,0,0,9.290786,18.548264,7.167079,0,1,0,0,0,0,0,0
577,'2026/06/17 13:21:33:082',8,42.049519,0,0,4.842187,22.277164,5.718783,0,1,0,0,0,0,0,0
578,'2026/06/17 13:21:33:116',8,34.651546,0,0,4.5609,19.042292,5.188334,0,1,0,0,0,0,0,0
579,'2026/06/17 13:21:33:178',8,33.773945,0,0,5.239511,20.21423,4.583436,0,1,0,0,0,0,0,0
580,'2026/06/17 13:21:33:210',8,35.421921,0,0,1.501662,25.178757,3.176177,0.012973,1,0,0,0,0,0,0
581,'2026/06/17 13:21:33:271',8,37.062702,0,0,3.466166,23.16205,6.768726,0,1,0,0,0,0,0,0
582,'2026/06/17 13:21:33:302',8,38.8493,0,0,1.939584,24.468216,5.585977,0,1,0,0,0,0,0,0
583,'2026/06/17 13:21:33:361',8,36.475983,0,0,0.43752,23.50021,3.469375,1.481466,1,0,0,0,0,0,0
584,'2026/06/17 13:21:33:407',8,45.741615,0,0,0,26.526207,1.109536,1.813395,1,0,0,0,0,0,0
585,'2026/06/17 13:21:33:450',8,50.655102,0,0,0,25.856789,2.982507,0,1,0,0,0,0,0,0
586,'2026/06/17 13:21:33:499',8,42.595531,0,0,0,21.280005,2.574306,0,1,0,0,0,0,0,0
587,'2026/06/17 13:21:33:546',8,31.869122,0,0,0,24.298605,2.121758,2.73694,1,0,0,0,0,0,0
588,'2026/06/17 13:21:33:592',8,27.109262,0,0,0,23.658321,1.510962,5.044619,1,0,0,0,0,0,0
589,'2026/06/17 13:21:33:639',8,39.57658,0,0,0,28.084663,0.787841,4.318767,1,0,0,0,0,0,0
590,'2026/06/17 13:21:33:686',8,37.232975,0,0,0,29.53998,0,4.666151,1,0,0,0,0,0,0
591,'2026/06/17 13:21:33:732',8,32.905754,0,0,0,24.739012,2.330605,2.317716,1,0,0,0,0,0,0
592,'2026/06/17 13:21:33:777',8,29.824883,0,0,0,24.926765,0.782802,3.02315,1,0,0,0,0,0,0
593,'2026/06/17 13:21:33:825',8,43.622486,0,0,0,26.080095,3.679344,2.118709,1,0,0,0,0,0,0
594,'2026/06/17 13:21:33:872',8,32.986343,0,0,2.028078,23.42239,5.525496,1.243983,1,0,0,0,0,0,0
595,'2026/06/17 13:21:33:917',8,29.556149,0,0,3.574619,22.298117,5.45234,1.402559,1,0,0,0,0,0,0
596,'2026/06/17 13:21:33:977',8,31.695198,0,0,3.419872,23.293427,4.897092,0,1,0,0,0,0,0,0
597,'2026/06/17 13:21:33:996',8,43.295826,0,0,0,25.033682,3.331331,3.122171,1,0,0,0,0,0,0
598,'2026/06/17 13:21:34:057',8,28.757742,0,0,0,23.628614,4.141483,4.73486,1,0,0,0,0,0,0
599,'2026/06/17 13:21:34:106',8,40.698639,0,0,0.104654,23.994627,5.267144,2.852001,1,0,0,0,0,0,0
600,'2026/06/17 13:21:37:684',9,6.300835,10.384561,2.053553,1.630372,4.585709,4.094138,0,0,1,0,0,0,0,0
601,'2026/06/17 13:21:37:726',9,0,0,21.752335,0,2.091102,18.06098,0,0,1,0,0,0,0,0
602,'2026/06/17 13:21:37:773',9,2.381074,4.75289,10.823583,0,5.494157,10.799577,0,0,1,0,0,0,0,0
603,'2026/06/17 13:21:37:818',9,9.425391,6.684136,2.198741,3.83618,6.564833,3.090472,0,0,1,0,0,0,0,0
604,'2026/06/17 13:21:37:858',9,7.134011,8.975724,0,3.096041,10.508581,4.379336,0,0,1,0,0,0,0,0
605,'2026/06/17 13:21:37:922',9,7.106124,10.05475,2.619069,4.026794,1.651187,5.267852,1.484269,0,1,0,0,0,0,0
606,'2026/06/17 13:21:37:953',9,0,10.604356,2.30389,2.894682,0,8.756742,0,0,1,0,0,0,0,0
607,'2026/06/17 13:21:38:018',9,0,20.661936,12.106955,0,0,10.161926,0,0,1,0,0,0,0,0
608,'2026/06/17 13:21:38:051',9,1.230002,18.273605,25.359501,0,0,1.836816,0,0,1,0,0,0,0,0
609,'2026/06/17 13:21:38:098',9,8.975587,18.91181,18.787542,0,0,5.150233,0,0,1,0,0,0,0,0
610,'2026/06/17 13:21:38:144',9,4.611906,25.428093,21.368088,0,0,4.269192,0,0,1,0,0,0,0,0
611,'2026/06/17 13:21:38:178',9,5.833663,28.137329,19.990002,0,0,7.899199,0,0,1,0,0,0,0,0
612,'2026/06/17 13:21:38:236',9,8.034744,31.557751,18.186583,0,0,5.862325,0,0,1,0,0,0,0,0
613,'2026/06/17 13:21:38:283',9,16.057503,33.188038,22.607504,0,0,10.201914,0,0,1,0,0,0,0,0
614,'2026/06/17 13:21:38:320',9,19.033344,39.137272,19.31658,0,0,15.879542,0,0,1,0,0,0,0,0
615,'2026/06/17 13:21:38:377',9,20.364119,36.313972,17.772261,0,0,13.4596,0,0,1,0,0,0,0,0
616,'2026/06/17 13:21:38:423',9,21.458467,36.658436,19.717182,0,0,12.270287,0,0,1,0,0,0,0,0
617,'2026/06/17 13:21:38:476',9,20.426249,35.748123,18.329723,0,0,9.93971,0,0,1,0,0,0,0,0
618,'2026/06/17 13:21:38:514',9,14.990446,41.317242,19.620626,0,0,10.672856,0,0,1,0,0,0,0,0
619,'2026/06/17 13:21:38:562',9,18.242796,40.42812,16.905386,0,0,1.968172,0,0,1,0,0,0,0,0
620,'2026/06/17 13:21:38:608',9,20.202423,41.325245,14.901579,0,0,5.974069,0,0,1,0,0,0,0,0
621,'2026/06/17 13:21:38:655',9,23.970156,41.118309,15.264874,0,0,10.233263,0,0,1,0,0,0,0,0
622,'2026/06/17 13:21:38:701',9,17.693935,46.086826,11.558822,0,0,3.798119,0,0,1,0,0,0,0,0
623,'2026/06/17 13:21:38:744',9,16.536758,46.01429,14.629662,0,0,12.501364,0,0,1,0,0,0,0,0
624,'2026/06/17 13:21:38:808',9,16.9711,41.744255,20.017641,0,0,9.115531,0,0,1,0,0,0,0,0
625,'2026/06/17 13:21:38:840',9,17.734138,49.934208,11.819009,0,0,5.201996,0,0,1,0,0,0,0,0
626,'2026/06/17 13:21:38:887',9,18.341801,48.459225,8.861361,0,0,5.086563,0,0,1,0,0,0,0,0
627,'2026/06/17 13:21:38:933',9,15.449953,44.528477,15.403703,0,0,7.342604,0,0,1,0,0,0,0,0
628,'2026/06/17 13:21:38:968',9,14.933681,46.861946,14.625997,0,0,9.962237,0,0,1,0,0,0,0,0
629,'2026/06/17 13:21:39:030',9,13.552158,47.283459,13.712792,0,0,5.864554,0,0,1,0,0,0,0,0
630,'2026/06/17 13:21:39:076',9,17.728899,43.027451,18.963921,0,0,6.852725,0,0,1,0,0,0,0,0
631,'2026/06/17 13:21:39:109',9,17.600933,46.350895,15.326242,0,0,4.120744,0,0,1,0,0,0,0,0
632,'2026/06/17 13:21:39:156',9,19.687948,45.419167,14.532824,0,0,4.45148,0,0,1,0,0,0,0,0
633,'2026/06/17 13:21:39:212',9,15.526706,44.2565,15.480811,0,0,5.576884,0,0,1,0,0,0,0,0
634,'2026/06/17 13:21:39:263',9,15.333979,45.408493,19.473167,0,0,9.508947,0,0,1,0,0,0,0,0
635,'2026/06/17 13:21:39:305',9,14.485108,43.363792,16.813116,0,0,8.804094,0,0,1,0,0,0,0,0
636,'2026/06/17 13:21:39:351',9,14.173004,46.006157,14.248199,0,0,6.234479,0,0,1,0,0,0,0,0
637,'2026/06/17 13:21:39:397',9,16.973795,43.78487,14.169065,0,0,8.674359,0,0,1,0,0,0,0,0
638,'2026/06/17 13:21:39:441',9,15.58413,50.56361,11.031978,0,0,3.915149,0,0,1,0,0,0,0,0
639,'2026/06/17 13:21:39:490',9,15.867053,45.033497,12.361646,0,0,3.502501,0,0,1,0,0,0,0,0
640,'2026/06/17 13:21:39:534',9,14.767543,48.99585,14.361353,0,0,5.734142,0,0,1,0,0,0,0,0
641,'2026/06/17 13:21:39:595',9,12.207695,45.256527,14.905578,0,0,6.732806,0,0,1,0,0,0,0,0
642,'2026/06/17 13:21:39:630',9,11.424444,50.76009,14.469085,0,0,5.286136,0,0,1,0,0,0,0,0
643,'2026/06/17 13:21:39:676',9,15.138422,48.369896,20.080563,0,0,5.785715,0,0,1,0,0,0,0,0
644,'2026/06/17 13:21:39:723',9,12.73709,51.467793,13.138363,0,0,5.360955,0,0,1,0,0,0,0,0
645,'2026/06/17 13:21:39:758',9,18.473301,47.537258,14.287647,0,0,3.122843,0,0,1,0,0,0,0,0
646,'2026/06/17 13:21:39:819',9,16.236454,51.902042,11.927272,0,0,7.053903,0,0,1,0,0,0,0,0
647,'2026/06/17 13:21:39:850',9,16.138727,47.754833,13.274798,0,0,5.472898,0,0,1,0,0,0,0,0
648,'2026/06/17 13:21:39:900',9,14.641959,47.874203,15.053587,0,0,10.985147,0,0,1,0,0,0,0,0
649,'2026/06/17 13:21:39:955',9,16.143726,43.343414,18.806599,0,0,10.078902,0,0,1,0,0,0,0,0
650,'2026/06/17 13:21:40:001',9,16.852596,46.240406,17.508219,0,0,6.429685,0,0,1,0,0,0,0,0
651,'2026/06/17 13:21:40:051',9,13.512388,47.560467,18.765041,0,0,7.514796,0,0,1,0,0,0,0,0
652,'2026/06/17 13:21:40:082',9,14.716568,46.450939,20.230816,0,0,8.647471,0,0,1,0,0,0,0,0
653,'2026/06/17 13:21:40:140',9,15.413626,45.164986,17.419836,0,0,9.584526,0,0,1,0,0,0,0,0
654,'2026/06/17 13:21:40:187',9,11.923281,45.954269,18.579254,0,0,11.173866,0,0,1,0,0,0,0,0
655,'2026/06/17 13:21:40:233',9,17.081333,48.855305,16.374184,0,0,10.33491,0,0,1,0,0,0,0,0
656,'2026/06/17 13:21:40:288',9,13.52627,46.85947,16.613869,0,0,6.575614,0,0,1,0,0,0,0,0
657,'2026/06/17 13:21:40:323',9,14.418847,44.956882,13.146045,0,0,8.630847,0,0,1,0,0,0,0,0
658,'2026/06/17 13:21:40:382',9,17.736059,42.22723,18.149015,0,0,8.45167,0,0,1,0,0,0,0,0
659,'2026/06/17 13:21:40:427',9,21.728975,46.198593,15.549363,0,0,6.355305,0,0,1,0,0,0,0,0
660,'2026/06/17 13:21:40:466',9,16.935829,43.272427,18.925369,0,0,5.738667,0,0,1,0,0,0,0,0
661,'2026/06/17 13:21:40:512',9,18.633684,48.374588,12.491704,0,0,5.605597,0,0,1,0,0,0,0,0
662,'2026/06/17 13:21:40:559',9,21.694864,41.601963,17.080839,0,0,4.898806,0,0,1,0,0,0,0,0
663,'2026/06/17 13:21:40:617',9,15.775263,41.007381,22.404161,0,0,7.26204,0,0,1,0,0,0,0,0
664,'2026/06/17 13:21:40:640',9,18.09362,43.409042,19.075932,0,0,7.733295,0,0,1,0,0,0,0,0
665,'2026/06/17 13:21:40:698',9,18.322338,47.177662,11.761952,0,0,8.805061,0,0,1,0,0,0,0,0
666,'2026/06/17 13:21:40:744',9,15.731294,46.630886,15.811783,0,0,12.032756,0,0,1,0,0,0,0,0
667,'2026/06/17 13:21:40:776',9,16.396238,46.249481,18.201719,0,0,7.525754,0,0,1,0,0,0,0,0
