@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
22,'2026/06/17 14:41:25:671',3,16.402691,0,0,3.379722,0,0,0,0,7.708185,0,0.400013,4.563766,8.586392,2.017654,0.823712,0,4.617499,0.520141,0.752588,0,0.44024,0,0,0,0.148563,0,0,0,0.503134,1.346394,2
23,'2026/06/17 14:41:25:717',3,25.3785,0,0,0,0,0,0,0,11.238461,0.140701,0.868911,5.642495,5.034785,4.511561,0.873443,0,4.585935,0,0,0,1.006043,0,1.130614,0,1.503566,0,0.217661,0.380139,0,0,2
24,'2026/06/17 14:41:25:762',3,29.268993,0,0,0,0,0,0,0,9.454542,0,0.379329,3.487873,2.228542,3.611639,1.323499,0,5.943798,0,0.316255,0.427476,0.475249,0,0.878941,0,0,0,0.72072,0.990794,0,0,2
25,'2026/06/17 14:41:25:809',3,29.470768,0,0,0,0,0,0,0,8.907441,0,1.969264,5.800385,5.739336,7.487651,0.108457,0.614298,8.82992,0,2.691822,1.368685,0.51898,0,0,1.215669,1.503533,0,1.545988,0.89664,0,0,2
26,'2026/06/17 14:41:25:857',3,19.355749,0,0,0,0,0,0,0,6.624616,2.374525,1.301112,3.88802,4.41472,3.060636,0,0,2.355231,0.828456,0.027854,2.336692,1.462026,0,0,0,0,0,0.074746,0,0,0,2
27,'2026/06/17 14:41:25:903',3,21.169483,0,0,0,0,0,0,0,12.960772,0,0.474111,0,6.538275,0.962958,2.62066,0.823228,2.667835,0,1.064843,0,4.074426,0,0.445974,0.580796,0,0,0,2.184861,0,0,2
28,'2026/06/17 14:41:25:949',3,31.343597,0,0,0,0,0,0,0,9.93714,0,0,0.176092,4.992254,1.800347,3.206585,0,6.317536,0,1.052243,0.389667,1.61917,0,0,0,0,0,0,0.154931,0,0.882886,2
29,'2026/06/17 14:41:25:997',3,24.388832,0,0,0,0,0,0,0,10.61399,0,0,1.774496,4.470225,1.534865,2.993136,1.237423,5.663266,0,2.62255,0.321673,2.00046,0,0,0,0,0,0,1.319487,0,0.187482,2
30,'2026/06/17 14:41:26:047',3,8.909117,0,0,0,0,0,0,0,4.710361,2.12218,0,2.603663,4.035638,2.610215,1.218295,4.488113,1.901288,2.011291,0,0.384143,0,0,2.385399,0,0,0,0,0.390239,0,0,2
31,'2026/06/17 14:41:26:094',3,20.313208,0,0,0,0,0,0,0,13.570329,2.518779,4.671787,3.329867,4.442672,0,0.13617,0.688291,3.13567,0,0.977307,1.754639,2.722475,0,0,1.245811,0,0,0,3.048236,0,0,2
